,distance,width,movement_time
5510,210,20,582
2475,40,10,512
605,160,18,617
847,160,8,1056
4233,40,18,345
1049,40,10,712
4916,75,10,561
4277,40,18,689
4437,60,10,490
5253,60,6,545
5449,160,18,576
5683,160,20,568
4535,120,18,874
5173,40,10,491
5202,160,14,657
3942,75,6,702
1006,210,6,1171
1225,120,8,720
519,210,20,964
426,60,10,560
6022,60,6,969
5767,40,6,440
4768,120,20,745
3078,60,18,501
1186,60,20,587
216,160,14,845
4799,40,8,560
1689,40,10,432
2441,75,18,624
3396,120,20,591
5153,210,8,673
598,160,10,910
5512,210,20,630
1826,40,20,258
5341,120,20,559
340,120,20,695
2552,120,14,735
571,120,8,691
5441,160,18,705
4617,40,10,454
5957,160,20,737
822,75,6,1026
5857,160,6,1673
3284,120,8,840
4346,120,6,957
6157,60,20,441
2895,60,20,547
729,210,8,1296
3400,120,20,442
5641,60,20,279
5933,60,8,631
1361,210,6,1262
639,210,6,1463
3071,210,20,752
4194,60,10,464
1649,210,14,675
1968,75,14,553
3171,75,6,793
1654,210,14,802
4929,210,6,1000
352,120,10,758
1821,120,8,494
3968,120,10,601
5191,40,8,553
5653,75,18,407
5817,40,14,486
2727,160,14,825
4725,40,10,646
2993,120,20,1011
1462,120,14,723
4378,210,18,760
5509,210,20,593
